 >TARPBXN : slab+disk; XS2,XS3,YS,ZS= 10.0000  0.0000 16.0000 16.0000
      3200 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
   0.50000   0.50000   0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
   2608  -3   2   7 2 2 2
   2609  -3   3  -8 2 2 2
   2610  -3   3  -7 2 2 2
   2611  -3   3  -6 2 2 2
   2612  -3   3  -5 2 2 2
   2613  -3   3  -4 2 2 2
   2614  -3   3  -3 2 2 2
   2615  -3   3  -2 2 2 2
   2616  -3   3  -1 2 2 2
   2617  -3   3   0 2 2 2
   2618  -3   3   1 2 2 2
   2619  -3   3   2 2 2 2
   2620  -3   3   3 2 2 2
   2621  -3   3   4 2 2 2
   2622  -3   3   5 2 2 2
   2623  -3   3   6 2 2 2
   2624  -3   3   7 2 2 2
   2625  -3   4  -8 2 2 2
   2626  -3   4  -7 2 2 2
   2627  -3   4  -6 2 2 2
   2628  -3   4  -5 2 2 2
   2629  -3   4  -4 2 2 2
   2630  -3   4  -3 2 2 2
   2631  -3   4  -2 2 2 2
   2632  -3   4  -1 2 2 2
   2633  -3   4   0 2 2 2
   2634  -3   4   1 2 2 2
   2635  -3   4   2 2 2 2
   2636  -3   4   3 2 2 2
   2637  -3   4   4 2 2 2
   2638  -3   4   5 2 2 2
   2639  -3   4   6 2 2 2
   2640  -3   4   7 2 2 2
   2641  -3   5  -8 2 2 2
   2642  -3   5  -7 2 2 2
   2643  -3   5  -6 2 2 2
   2644  -3   5  -5 2 2 2
   2645  -3   5  -4 2 2 2
   2646  -3   5  -3 2 2 2
   2647  -3   5  -2 2 2 2
   2648  -3   5  -1 2 2 2
   2649  -3   5   0 2 2 2
   2650  -3   5   1 2 2 2
   2651  -3   5   2 2 2 2
   2652  -3   5   3 2 2 2
   2653  -3   5   4 2 2 2
   2654  -3   5   5 2 2 2
   2655  -3   5   6 2 2 2
   2656  -3   5   7 2 2 2
   2657  -3   6  -8 2 2 2
   2658  -3   6  -7 2 2 2
   2659  -3   6  -6 2 2 2
   2660  -3   6  -5 2 2 2
   2661  -3   6  -4 2 2 2
   2662  -3   6  -3 2 2 2
   2663  -3   6  -2 2 2 2
   2664  -3   6  -1 2 2 2
   2665  -3   6   0 2 2 2
   2666  -3   6   1 2 2 2
   2667  -3   6   2 2 2 2
   2668  -3   6   3 2 2 2
   2669  -3   6   4 2 2 2
   2670  -3   6   5 2 2 2
   2671  -3   6   6 2 2 2
   2672  -3   6   7 2 2 2
   2673  -3   7  -8 2 2 2
   2674  -3   7  -7 2 2 2
   2675  -3   7  -6 2 2 2
   2676  -3   7  -5 2 2 2
   2677  -3   7  -4 2 2 2
   2678  -3   7  -3 2 2 2
   2679  -3   7  -2 2 2 2
   2680  -3   7  -1 2 2 2
   2681  -3   7   0 2 2 2
   2682  -3   7   1 2 2 2
   2683  -3   7   2 2 2 2
   2684  -3   7   3 2 2 2
   2685  -3   7   4 2 2 2
   2686  -3   7   5 2 2 2
   2687  -3   7   6 2 2 2
   2688  -3   7   7 2 2 2
   2689  -2  -8  -8 2 2 2
   2690  -2  -8  -7 2 2 2
   2691  -2  -8  -6 2 2 2
   2692  -2  -8  -5 2 2 2
   2693  -2  -8  -4 2 2 2
   2694  -2  -8  -3 2 2 2
   2695  -2  -8  -2 2 2 2
   2696  -2  -8  -1 2 2 2
   2697  -2  -8   0 2 2 2
   2698  -2  -8   1 2 2 2
   2699  -2  -8   2 2 2 2
   2700  -2  -8   3 2 2 2
   2701  -2  -8   4 2 2 2
   2702  -2  -8   5 2 2 2
   2703  -2  -8   6 2 2 2
   2704  -2  -8   7 2 2 2
   2705  -2  -7  -8 2 2 2
   2706  -2  -7  -7 2 2 2
   2707  -2  -7  -6 2 2 2
   2708  -2  -7  -5 2 2 2
   2709  -2  -7  -4 2 2 2
   2710  -2  -7  -3 2 2 2
   2711  -2  -7  -2 2 2 2
   2712  -2  -7  -1 2 2 2
   2713  -2  -7   0 2 2 2
   2714  -2  -7   1 2 2 2
   2715  -2  -7   2 2 2 2
   2716  -2  -7   3 2 2 2
   2717  -2  -7   4 2 2 2
   2718  -2  -7   5 2 2 2
   2719  -2  -7   6 2 2 2
   2720  -2  -7   7 2 2 2
   2721  -2  -6  -8 2 2 2
   2722  -2  -6  -7 2 2 2
   2723  -2  -6  -6 2 2 2
   2724  -2  -6  -5 2 2 2
   2725  -2  -6  -4 2 2 2
   2726  -2  -6  -3 2 2 2
   2727  -2  -6  -2 2 2 2
   2728  -2  -6  -1 2 2 2
   2729  -2  -6   0 2 2 2
   2730  -2  -6   1 2 2 2
   2731  -2  -6   2 2 2 2
   2732  -2  -6   3 2 2 2
   2733  -2  -6   4 2 2 2
   2734  -2  -6   5 2 2 2
   2735  -2  -6   6 2 2 2
   2736  -2  -6   7 2 2 2
   2737  -2  -5  -8 2 2 2
   2738  -2  -5  -7 2 2 2
   2739  -2  -5  -6 2 2 2
   2740  -2  -5  -5 2 2 2
   2741  -2  -5  -4 2 2 2
   2742  -2  -5  -3 2 2 2
   2743  -2  -5  -2 2 2 2
   2744  -2  -5  -1 2 2 2
   2745  -2  -5   0 2 2 2
   2746  -2  -5   1 2 2 2
   2747  -2  -5   2 2 2 2
   2748  -2  -5   3 2 2 2
   2749  -2  -5   4 2 2 2
   2750  -2  -5   5 2 2 2
   2751  -2  -5   6 2 2 2
   2752  -2  -5   7 2 2 2
   2753  -2  -4  -8 2 2 2
   2754  -2  -4  -7 2 2 2
   2755  -2  -4  -6 2 2 2
   2756  -2  -4  -5 2 2 2
   2757  -2  -4  -4 2 2 2
   2758  -2  -4  -3 2 2 2
   2759  -2  -4  -2 2 2 2
   2760  -2  -4  -1 2 2 2
   2761  -2  -4   0 2 2 2
   2762  -2  -4   1 2 2 2
   2763  -2  -4   2 2 2 2
   2764  -2  -4   3 2 2 2
   2765  -2  -4   4 2 2 2
   2766  -2  -4   5 2 2 2
   2767  -2  -4   6 2 2 2
   2768  -2  -4   7 2 2 2
   2769  -2  -3  -8 2 2 2
   2770  -2  -3  -7 2 2 2
   2771  -2  -3  -6 2 2 2
   2772  -2  -3  -5 2 2 2
   2773  -2  -3  -4 2 2 2
   2774  -2  -3  -3 2 2 2
   2775  -2  -3  -2 2 2 2
   2776  -2  -3  -1 2 2 2
   2777  -2  -3   0 2 2 2
   2778  -2  -3   1 2 2 2
   2779  -2  -3   2 2 2 2
   2780  -2  -3   3 2 2 2
   2781  -2  -3   4 2 2 2
   2782  -2  -3   5 2 2 2
   2783  -2  -3   6 2 2 2
   2784  -2  -3   7 2 2 2
   2785  -2  -2  -8 2 2 2
   2786  -2  -2  -7 2 2 2
   2787  -2  -2  -6 2 2 2
   2788  -2  -2  -5 2 2 2
   2789  -2  -2  -4 2 2 2
   2790  -2  -2  -3 2 2 2
   2791  -2  -2  -2 2 2 2
   2792  -2  -2  -1 2 2 2
   2793  -2  -2   0 2 2 2
   2794  -2  -2   1 2 2 2
   2795  -2  -2   2 2 2 2
   2796  -2  -2   3 2 2 2
   2797  -2  -2   4 2 2 2
   2798  -2  -2   5 2 2 2
   2799  -2  -2   6 2 2 2
   2800  -2  -2   7 2 2 2
   2801  -2  -1  -8 2 2 2
   2802  -2  -1  -7 2 2 2
   2803  -2  -1  -6 2 2 2
   2804  -2  -1  -5 2 2 2
   2805  -2  -1  -4 2 2 2
   2806  -2  -1  -3 2 2 2
   2807  -2  -1  -2 2 2 2
   2808  -2  -1  -1 2 2 2
   2809  -2  -1   0 2 2 2
   2810  -2  -1   1 2 2 2
   2811  -2  -1   2 2 2 2
   2812  -2  -1   3 2 2 2
   2813  -2  -1   4 2 2 2
   2814  -2  -1   5 2 2 2
   2815  -2  -1   6 2 2 2
   2816  -2  -1   7 2 2 2
   2817  -2   0  -8 2 2 2
   2818  -2   0  -7 2 2 2
   2819  -2   0  -6 2 2 2
   2820  -2   0  -5 2 2 2
   2821  -2   0  -4 2 2 2
   2822  -2   0  -3 2 2 2
   2823  -2   0  -2 2 2 2
   2824  -2   0  -1 2 2 2
   2825  -2   0   0 2 2 2
   2826  -2   0   1 2 2 2
   2827  -2   0   2 2 2 2
   2828  -2   0   3 2 2 2
   2829  -2   0   4 2 2 2
   2830  -2   0   5 2 2 2
   2831  -2   0   6 2 2 2
   2832  -2   0   7 2 2 2
   2833  -2   1  -8 2 2 2
   2834  -2   1  -7 2 2 2
   2835  -2   1  -6 2 2 2
   2836  -2   1  -5 2 2 2
   2837  -2   1  -4 2 2 2
   2838  -2   1  -3 2 2 2
   2839  -2   1  -2 2 2 2
   2840  -2   1  -1 2 2 2
   2841  -2   1   0 2 2 2
   2842  -2   1   1 2 2 2
   2843  -2   1   2 2 2 2
   2844  -2   1   3 2 2 2
   2845  -2   1   4 2 2 2
   2846  -2   1   5 2 2 2
   2847  -2   1   6 2 2 2
   2848  -2   1   7 2 2 2
   2849  -2   2  -8 2 2 2
   2850  -2   2  -7 2 2 2
   2851  -2   2  -6 2 2 2
   2852  -2   2  -5 2 2 2
   2853  -2   2  -4 2 2 2
   2854  -2   2  -3 2 2 2
   2855  -2   2  -2 2 2 2
   2856  -2   2  -1 2 2 2
   2857  -2   2   0 2 2 2
   2858  -2   2   1 2 2 2
   2859  -2   2   2 2 2 2
   2860  -2   2   3 2 2 2
   2861  -2   2   4 2 2 2
   2862  -2   2   5 2 2 2
   2863  -2   2   6 2 2 2
   2864  -2   2   7 2 2 2
   2865  -2   3  -8 2 2 2
   2866  -2   3  -7 2 2 2
   2867  -2   3  -6 2 2 2
   2868  -2   3  -5 2 2 2
   2869  -2   3  -4 2 2 2
   2870  -2   3  -3 2 2 2
   2871  -2   3  -2 2 2 2
   2872  -2   3  -1 2 2 2
   2873  -2   3   0 2 2 2
   2874  -2   3   1 2 2 2
   2875  -2   3   2 2 2 2
   2876  -2   3   3 2 2 2
   2877  -2   3   4 2 2 2
   2878  -2   3   5 2 2 2
   2879  -2   3   6 2 2 2
   2880  -2   3   7 2 2 2
   2881  -2   4  -8 2 2 2
   2882  -2   4  -7 2 2 2
   2883  -2   4  -6 2 2 2
   2884  -2   4  -5 2 2 2
   2885  -2   4  -4 2 2 2
   2886  -2   4  -3 2 2 2
   2887  -2   4  -2 2 2 2
   2888  -2   4  -1 2 2 2
   2889  -2   4   0 2 2 2
   2890  -2   4   1 2 2 2
   2891  -2   4   2 2 2 2
   2892  -2   4   3 2 2 2
   2893  -2   4   4 2 2 2
   2894  -2   4   5 2 2 2
   2895  -2   4   6 2 2 2
   2896  -2   4   7 2 2 2
   2897  -2   5  -8 2 2 2
   2898  -2   5  -7 2 2 2
   2899  -2   5  -6 2 2 2
   2900  -2   5  -5 2 2 2
   2901  -2   5  -4 2 2 2
   2902  -2   5  -3 2 2 2
   2903  -2   5  -2 2 2 2
   2904  -2   5  -1 2 2 2
   2905  -2   5   0 2 2 2
   2906  -2   5   1 2 2 2
   2907  -2   5   2 2 2 2
   2908  -2   5   3 2 2 2
   2909  -2   5   4 2 2 2
   2910  -2   5   5 2 2 2
   2911  -2   5   6 2 2 2
   2912  -2   5   7 2 2 2
   2913  -2   6  -8 2 2 2
   2914  -2   6  -7 2 2 2
   2915  -2   6  -6 2 2 2
   2916  -2   6  -5 2 2 2
   2917  -2   6  -4 2 2 2
   2918  -2   6  -3 2 2 2
   2919  -2   6  -2 2 2 2
   2920  -2   6  -1 2 2 2
   2921  -2   6   0 2 2 2
   2922  -2   6   1 2 2 2
   2923  -2   6   2 2 2 2
   2924  -2   6   3 2 2 2
   2925  -2   6   4 2 2 2
   2926  -2   6   5 2 2 2
   2927  -2   6   6 2 2 2
   2928  -2   6   7 2 2 2
   2929  -2   7  -8 2 2 2
   2930  -2   7  -7 2 2 2
   2931  -2   7  -6 2 2 2
   2932  -2   7  -5 2 2 2
   2933  -2   7  -4 2 2 2
   2934  -2   7  -3 2 2 2
   2935  -2   7  -2 2 2 2
   2936  -2   7  -1 2 2 2
   2937  -2   7   0 2 2 2
   2938  -2   7   1 2 2 2
   2939  -2   7   2 2 2 2
   2940  -2   7   3 2 2 2
   2941  -2   7   4 2 2 2
   2942  -2   7   5 2 2 2
   2943  -2   7   6 2 2 2
   2944  -2   7   7 2 2 2
   2945  -1  -8  -8 2 2 2
   2946  -1  -8  -7 2 2 2
   2947  -1  -8  -6 2 2 2
   2948  -1  -8  -5 2 2 2
   2949  -1  -8  -4 2 2 2
   2950  -1  -8  -3 2 2 2
   2951  -1  -8  -2 2 2 2
   2952  -1  -8  -1 2 2 2
   2953  -1  -8   0 2 2 2
   2954  -1  -8   1 2 2 2
   2955  -1  -8   2 2 2 2
   2956  -1  -8   3 2 2 2
   2957  -1  -8   4 2 2 2
   2958  -1  -8   5 2 2 2
   2959  -1  -8   6 2 2 2
   2960  -1  -8   7 2 2 2
   2961  -1  -7  -8 2 2 2
   2962  -1  -7  -7 2 2 2
   2963  -1  -7  -6 2 2 2
   2964  -1  -7  -5 2 2 2
   2965  -1  -7  -4 2 2 2
   2966  -1  -7  -3 2 2 2
   2967  -1  -7  -2 2 2 2
   2968  -1  -7  -1 2 2 2
   2969  -1  -7   0 2 2 2
   2970  -1  -7   1 2 2 2
   2971  -1  -7   2 2 2 2
   2972  -1  -7   3 2 2 2
   2973  -1  -7   4 2 2 2
   2974  -1  -7   5 2 2 2
   2975  -1  -7   6 2 2 2
   2976  -1  -7   7 2 2 2
   2977  -1  -6  -8 2 2 2
   2978  -1  -6  -7 2 2 2
   2979  -1  -6  -6 2 2 2
   2980  -1  -6  -5 2 2 2
   2981  -1  -6  -4 2 2 2
   2982  -1  -6  -3 2 2 2
   2983  -1  -6  -2 2 2 2
   2984  -1  -6  -1 2 2 2
   2985  -1  -6   0 2 2 2
   2986  -1  -6   1 2 2 2
   2987  -1  -6   2 2 2 2
   2988  -1  -6   3 2 2 2
   2989  -1  -6   4 2 2 2
   2990  -1  -6   5 2 2 2
   2991  -1  -6   6 2 2 2
   2992  -1  -6   7 2 2 2
   2993  -1  -5  -8 2 2 2
   2994  -1  -5  -7 2 2 2
   2995  -1  -5  -6 2 2 2
   2996  -1  -5  -5 2 2 2
   2997  -1  -5  -4 2 2 2
   2998  -1  -5  -3 2 2 2
   2999  -1  -5  -2 2 2 2
   3000  -1  -5  -1 2 2 2
   3001  -1  -5   0 2 2 2
   3002  -1  -5   1 2 2 2
   3003  -1  -5   2 2 2 2
   3004  -1  -5   3 2 2 2
   3005  -1  -5   4 2 2 2
   3006  -1  -5   5 2 2 2
   3007  -1  -5   6 2 2 2
   3008  -1  -5   7 2 2 2
   3009  -1  -4  -8 2 2 2
   3010  -1  -4  -7 2 2 2
   3011  -1  -4  -6 2 2 2
   3012  -1  -4  -5 2 2 2
   3013  -1  -4  -4 2 2 2
   3014  -1  -4  -3 2 2 2
   3015  -1  -4  -2 2 2 2
   3016  -1  -4  -1 2 2 2
   3017  -1  -4   0 2 2 2
   3018  -1  -4   1 2 2 2
   3019  -1  -4   2 2 2 2
   3020  -1  -4   3 2 2 2
   3021  -1  -4   4 2 2 2
   3022  -1  -4   5 2 2 2
   3023  -1  -4   6 2 2 2
   3024  -1  -4   7 2 2 2
   3025  -1  -3  -8 2 2 2
   3026  -1  -3  -7 2 2 2
   3027  -1  -3  -6 2 2 2
   3028  -1  -3  -5 2 2 2
   3029  -1  -3  -4 2 2 2
   3030  -1  -3  -3 2 2 2
   3031  -1  -3  -2 2 2 2
   3032  -1  -3  -1 2 2 2
   3033  -1  -3   0 2 2 2
   3034  -1  -3   1 2 2 2
   3035  -1  -3   2 2 2 2
   3036  -1  -3   3 2 2 2
   3037  -1  -3   4 2 2 2
   3038  -1  -3   5 2 2 2
   3039  -1  -3   6 2 2 2
   3040  -1  -3   7 2 2 2
   3041  -1  -2  -8 2 2 2
   3042  -1  -2  -7 2 2 2
   3043  -1  -2  -6 2 2 2
   3044  -1  -2  -5 2 2 2
   3045  -1  -2  -4 2 2 2
   3046  -1  -2  -3 2 2 2
   3047  -1  -2  -2 2 2 2
   3048  -1  -2  -1 2 2 2
   3049  -1  -2   0 2 2 2
   3050  -1  -2   1 2 2 2
   3051  -1  -2   2 2 2 2
   3052  -1  -2   3 2 2 2
   3053  -1  -2   4 2 2 2
   3054  -1  -2   5 2 2 2
   3055  -1  -2   6 2 2 2
   3056  -1  -2   7 2 2 2
   3057  -1  -1  -8 2 2 2
   3058  -1  -1  -7 2 2 2
   3059  -1  -1  -6 2 2 2
   3060  -1  -1  -5 2 2 2
   3061  -1  -1  -4 2 2 2
   3062  -1  -1  -3 2 2 2
   3063  -1  -1  -2 2 2 2
   3064  -1  -1  -1 2 2 2
   3065  -1  -1   0 2 2 2
   3066  -1  -1   1 2 2 2
   3067  -1  -1   2 2 2 2
   3068  -1  -1   3 2 2 2
   3069  -1  -1   4 2 2 2
   3070  -1  -1   5 2 2 2
   3071  -1  -1   6 2 2 2
   3072  -1  -1   7 2 2 2
   3073  -1   0  -8 2 2 2
   3074  -1   0  -7 2 2 2
   3075  -1   0  -6 2 2 2
   3076  -1   0  -5 2 2 2
   3077  -1   0  -4 2 2 2
   3078  -1   0  -3 2 2 2
   3079  -1   0  -2 2 2 2
   3080  -1   0  -1 2 2 2
   3081  -1   0   0 2 2 2
   3082  -1   0   1 2 2 2
   3083  -1   0   2 2 2 2
   3084  -1   0   3 2 2 2
   3085  -1   0   4 2 2 2
   3086  -1   0   5 2 2 2
   3087  -1   0   6 2 2 2
   3088  -1   0   7 2 2 2
   3089  -1   1  -8 2 2 2
   3090  -1   1  -7 2 2 2
   3091  -1   1  -6 2 2 2
   3092  -1   1  -5 2 2 2
   3093  -1   1  -4 2 2 2
   3094  -1   1  -3 2 2 2
   3095  -1   1  -2 2 2 2
   3096  -1   1  -1 2 2 2
   3097  -1   1   0 2 2 2
   3098  -1   1   1 2 2 2
   3099  -1   1   2 2 2 2
   3100  -1   1   3 2 2 2
   3101  -1   1   4 2 2 2
   3102  -1   1   5 2 2 2
   3103  -1   1   6 2 2 2
   3104  -1   1   7 2 2 2
   3105  -1   2  -8 2 2 2
   3106  -1   2  -7 2 2 2
   3107  -1   2  -6 2 2 2
   3108  -1   2  -5 2 2 2
   3109  -1   2  -4 2 2 2
   3110  -1   2  -3 2 2 2
   3111  -1   2  -2 2 2 2
   3112  -1   2  -1 2 2 2
   3113  -1   2   0 2 2 2
   3114  -1   2   1 2 2 2
   3115  -1   2   2 2 2 2
   3116  -1   2   3 2 2 2
   3117  -1   2   4 2 2 2
   3118  -1   2   5 2 2 2
   3119  -1   2   6 2 2 2
   3120  -1   2   7 2 2 2
   3121  -1   3  -8 2 2 2
   3122  -1   3  -7 2 2 2
   3123  -1   3  -6 2 2 2
   3124  -1   3  -5 2 2 2
   3125  -1   3  -4 2 2 2
   3126  -1   3  -3 2 2 2
   3127  -1   3  -2 2 2 2
   3128  -1   3  -1 2 2 2
   3129  -1   3   0 2 2 2
   3130  -1   3   1 2 2 2
   3131  -1   3   2 2 2 2
   3132  -1   3   3 2 2 2
   3133  -1   3   4 2 2 2
   3134  -1   3   5 2 2 2
   3135  -1   3   6 2 2 2
   3136  -1   3   7 2 2 2
   3137  -1   4  -8 2 2 2
   3138  -1   4  -7 2 2 2
   3139  -1   4  -6 2 2 2
   3140  -1   4  -5 2 2 2
   3141  -1   4  -4 2 2 2
   3142  -1   4  -3 2 2 2
   3143  -1   4  -2 2 2 2
   3144  -1   4  -1 2 2 2
   3145  -1   4   0 2 2 2
   3146  -1   4   1 2 2 2
   3147  -1   4   2 2 2 2
   3148  -1   4   3 2 2 2
   3149  -1   4   4 2 2 2
   3150  -1   4   5 2 2 2
   3151  -1   4   6 2 2 2
   3152  -1   4   7 2 2 2
   3153  -1   5  -8 2 2 2
   3154  -1   5  -7 2 2 2
   3155  -1   5  -6 2 2 2
   3156  -1   5  -5 2 2 2
   3157  -1   5  -4 2 2 2
   3158  -1   5  -3 2 2 2
   3159  -1   5  -2 2 2 2
   3160  -1   5  -1 2 2 2
   3161  -1   5   0 2 2 2
   3162  -1   5   1 2 2 2
   3163  -1   5   2 2 2 2
   3164  -1   5   3 2 2 2
   3165  -1   5   4 2 2 2
   3166  -1   5   5 2 2 2
   3167  -1   5   6 2 2 2
   3168  -1   5   7 2 2 2
   3169  -1   6  -8 2 2 2
   3170  -1   6  -7 2 2 2
   3171  -1   6  -6 2 2 2
   3172  -1   6  -5 2 2 2
   3173  -1   6  -4 2 2 2
   3174  -1   6  -3 2 2 2
   3175  -1   6  -2 2 2 2
   3176  -1   6  -1 2 2 2
   3177  -1   6   0 2 2 2
   3178  -1   6   1 2 2 2
   3179  -1   6   2 2 2 2
   3180  -1   6   3 2 2 2
   3181  -1   6   4 2 2 2
   3182  -1   6   5 2 2 2
   3183  -1   6   6 2 2 2
   3184  -1   6   7 2 2 2
   3185  -1   7  -8 2 2 2
   3186  -1   7  -7 2 2 2
   3187  -1   7  -6 2 2 2
   3188  -1   7  -5 2 2 2
   3189  -1   7  -4 2 2 2
   3190  -1   7  -3 2 2 2
   3191  -1   7  -2 2 2 2
   3192  -1   7  -1 2 2 2
   3193  -1   7   0 2 2 2
   3194  -1   7   1 2 2 2
   3195  -1   7   2 2 2 2
   3196  -1   7   3 2 2 2
   3197  -1   7   4 2 2 2
   3198  -1   7   5 2 2 2
   3199  -1   7   6 2 2 2
   3200  -1   7   7 2 2 2
